Descrição|Valor Original|Valor à Vista
Computador Pichau Gamer Selene II, AMD Ryzen 5 5600G, 16GB DDR4, SSD 480GB|R$ 3.521,30|R$ 2.039,98
Computador Pichau Gamer Udyat IV, intel i5-10400F, GeForce GTX 1650 4GB, 16GB DDR4, SSD 480GB|R$ 4.586,20|R$ 2.759,70
Computador Pichau Highflyer, Intel i9-13900KF, GeForce RTX 4080 16GB, 32GB DDR5, SSD 1TB M.2|R$ 30.828,80|R$ 18.100,00
Computador Pichau Highflyer, Intel i9-12900KF, GeForce RTX 4080 16GB, 16GB DDR4, SSD 1TB M.2|R$ 25.951,80|R$ 15.220,02
Computador Pichau Gamer Frigga II, Intel i5-13400, GeForce RTX 3060 Ti 8GB, 16GB DDR4, SSD M.2 480GB|R$ 9.991,20|R$ 5.799,78
Computador Mancer Gamer Marchosias II, Intel i5-13400, GeForce RTX 2060 8GB Super, 16GB DDR4, SSD 480GB|R$ 7.484,20|R$ 4.559,83
Computador Pichau Gamer, Intel i5-13400, GeForce GTX 1650 4GB, 16GB DDR4, SSD 480GB|R$ 6.196,20|R$ 3.799,89
Computador Pichau Gamer Amaterasu III, AMD Ryzen 9 7950X3D, GeForce RTX 4080 16GB, 32GB DDR5, SSD M.2 1TB + SSD 480GB|R$ 37.800,50|R$ 22.669,98
Computador Pichau Gamer Amaterasu II, AMD Ryzen 9 7950X3D, GeForce RTX 4070 Ti 12GB, 32GB DDR5, SSD M.2 1TB|R$ 27.956,50|R$ 16.699,99
Computador Pichau Gamer Amaterasu, AMD Ryzen 9 7950X3D, GeForce RTX 4070 12GB, 32GB DDR5, SSD M.2 1TB|R$ 24.736,50|R$ 14.799,99
Computador Pichau Gamer, Intel i5-13400, Radeon RX 6650 XT 8GB, 16GB DDR4, SSD 240GB M.2|R$ 7.821,80|R$ 4.299,99
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 2060 Super 8GB, 16GB DDR4, SSD 480GB M.2|R$ 7.844,80|R$ 4.536,60
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 3050 8GB, 16GB DDR4, SSD 480GB M.2|R$ 8.580,80|R$ 4.744,01
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 3060 8GB, 16GB DDR4, SSD 480GB M.2|R$ 9.017,80|R$ 5.216,17
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 3060 12GB, 16GB DDR4, SSD 480GB M.2|R$ 9.362,80|R$ 5.413,33
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 3060 TI 8GB, 16GB DDR4, SSD 480GB M.2|R$ 9.834,80|R$ 5.689,90
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 3070 TI 8GB, 16GB DDR4, SSD 480GB M.2|R$ 12.019,80|R$ 6.950,00
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 4060 Ti 8GB, 16GB DDR4, SSD 480GB M.2|R$ 10.961,80|R$ 6.339,99
Computador Pichau Gamer, Intel i5-13400, GeForce RTX 4070 12GB, 16GB DDR4, SSD 480GB M.2|R$ 13.399,80|R$ 7.750,00
Computador Pichau Gamer Brontes III, AMD Ryzen 9 7900X, GeForce RTX 4080 16GB, 32GB DDR5, SSD M.2 960GB|R$ 27.979,50|R$ 17.699,99
Computador Pichau Gamer Amon V, AMD Ryzen 7 7700X, GeForce RTX 4090 24GB, 64GB DDR5, 2X SSD M.2 2TB|R$ 50.496,50|R$ 30.999,99
Computador Pichau Gamer Amon IV, AMD Ryzen 7 7700X, GeForce RTX 4080 16GB, 32GB DDR5, SSD M.2 1TB + SSD M.2 480GB|R$ 27.128,50|R$ 17.099,99
Computador Pichau Gamer Amon III, AMD Ryzen 7 7700X, GeForce RTX 4070 Ti 12GB, 32GB DDR5, SSD M.2 1TB + SSD M.2 480GB|R$ 22.459,50|R$ 14.199,99
Computador Pichau Gamer Amon II, AMD Ryzen 7 7700X, GeForce RTX 4070 12GB, 16GB DDR5, SSD M.2 1TB + SSD M.2 480GB|R$ 18.296,50|R$ 11.599,99
Computador Pichau Gamer Amon, AMD Ryzen 7 7700X, GeForce RTX 4060 Ti 8GB, 16GB DDR5, SSD M.2 1TB + SSD M.2 480GB|R$ 16.249,50|R$ 10.246,54
Computador Pichau Gamer Sabnock IV, AMD Ryzen 7 7700, GeForce RTX 4070 Ti 12GB, 32GB DDR5, 2X SSD M.2 1TB|R$ 22.712,50|R$ 13.899,99
Computador Pichau Gamer Sabnock III, AMD Ryzen 7 7700, GeForce RTX 4070 12GB, 16GB DDR5, SSD M.2 1TB|R$ 16.985,50|R$ 10.399,99
Computador Pichau Gamer Zagan II, Intel i5-10400F, GeForce RTX 4060 Ti 8GB, 16GB DDR4, SSD M.2 480GB|R$ 8.553,71|R$ 5.099,87
Computador Pichau Gamer Sabnock II, AMD Ryzen 7 7700, GeForce RTX 4060 Ti 8GB, 16GB DDR5, SSD M.2 1TB|R$ 14.869,50|R$ 8.999,99
Computador Pichau Gamer Zagan, Intel i5-10400F, GeForce RTX 4060 8GB, 16GB DDR4, SSD M.2 480GB|R$ 6.656,20|R$ 4.099,64
Computador Pichau Gamer Sabnock, AMD Ryzen 7 7700, GeForce RTX 4060 8GB, 16GB DDR5, SSD M.2 1TB|R$ 13.719,50|R$ 8.646,41
